Year,Coal,Natural Gas,Crude Oil,Plant Liquids,Total Fossil Fuels,Nuclear,Hydroelectric,Geothermal,Solar,Wind,Biomass,Total Renewable,Total Energy
1949,11973.882,5377.243,10683.252,713.799,28748.176,0,1424.722,0,0,0,1549.262,2973.984,31722.16
1950,14060.135,6232.975,11446.729,822.828,32562.667,0,1415.411,0,0,0,1562.307,2977.718,35540.384
1951,14419.325,7415.733,13036.724,920.369,35792.151,0,1423.795,0,0,0,1534.669,2958.464,38750.615
1952,12734.313,7963.599,13281.049,997.771,34976.732,0,1465.812,0,0,0,1474.369,2940.181,37916.913
1953,12277.746,8338.838,13671.076,1061.677,35349.336,0,1412.859,0,0,0,1418.601,2831.46,38180.796
1954,10542.448,8681.785,13426.93,1113.167,33764.33,0,1359.772,0,0,0,1394.327,2754.099,36518.43
1955,12369.608,9344.668,14409.682,1239.721,37363.68,0,1359.844,0,0,0,1424.143,2783.987,40147.667
1956,13306.334,10002.147,15180.241,1282.73,39771.452,0,1434.711,0,0,0,1415.871,2850.582,42622.033
1957,13061.393,10605.254,15178.026,1288.811,40133.484,0.112,1515.613,0,0,0,1333.581,2849.194,42982.79
1958,10783.088,10942.235,14204.125,1286.874,37216.322,1.915,1591.967,0,0,0,1323.123,2915.09,40133.327
1959,10777.984,11951.826,14932.622,1382.783,39045.216,2.187,1548.465,0,0,0,1352.874,2901.339,41948.742
1960,10817.398,12656.133,14934.611,1460.974,39869.117,6.026,1607.975,0.359,0,0,1319.87,2928.204,42803.347
1961,10447.091,13104.734,15206.196,1549.114,40307.136,19.678,1656.463,1.001,0,0,1294.762,2952.226,43279.04
1962,10900.56,13716.861,15521.896,1592.568,41731.885,26.394,1816.141,1.061,0,0,1300.242,3117.444,44875.724
1963,11849.229,14512.781,15965.793,1709.378,44037.181,38.147,1771.355,1.76,0,0,1323.316,3096.431,47171.759
1964,12523.881,15298.396,16163.568,1803.106,45788.951,39.819,1886.314,2.132,0,0,1336.802,3225.248,49054.018
1965,13055.285,15775.441,16521.381,1882.795,47234.902,43.164,2059.077,1.978,0,0,1334.761,3395.816,50673.882
1966,13467.679,17010.742,17561.025,1995.921,50035.367,64.158,2061.519,1.958,0,0,1368.985,3432.462,53531.987
1967,13825.487,17943.168,18651.304,2177.174,52597.132,88.456,2346.664,3.3,0,0,1340.249,3690.213,56375.801
1968,13608.678,19067.853,19308.444,2321.212,54306.187,141.534,2348.629,4.532,0,0,1419.495,3772.656,58220.376
1969,13863.346,20446.462,19556.156,2419.605,56285.569,153.722,2647.983,6.422,0,0,1440.487,4094.892,60534.182
1970,14607.064,21665.67,20401.21,2512.128,59186.071,239.347,2633.547,5.511,0,0,1430.962,4070.021,63495.439
1971,13185.523,22279.791,20032.701,2543.544,58041.56,412.939,2824.151,5.739,0,0,1432.323,4262.213,62716.712
1972,14091.685,22207.545,20041.134,2597.539,58937.904,583.752,2863.865,15.079,0,0,1503.065,4382.009,63903.664
1973,13992.126,22187.349,19493.237,2568.779,58241.491,910.177,2861.448,20.422,0,0,1529.068,4410.938,63562.605
1974,14074.451,21210.145,18574.993,2471.169,56330.758,1272.083,3176.58,25.61,0,0,1539.662,4741.852,62344.692
1975,14989.315,19640.343,17729.318,2374.297,54733.273,1899.798,3154.607,33.78,0,0,1498.734,4687.12,61320.191
1976,15653.687,19480.319,17261.844,2327.046,54722.896,2111.121,2976.265,37.513,0,0,1713.373,4727.151,61561.168
1977,15754.741,19565.321,17453.737,2326.983,55100.782,2701.762,2333.252,37.382,0,0,1838.332,4208.966,62011.511
1978,14909.809,19485.219,18433.653,2245.438,55074.118,3024.126,2936.983,30.851,0,0,2037.605,5005.44,63103.684
1979,17539.583,20076.347,18103.598,2286.081,58005.609,2775.827,2930.686,40.262,0,0,2151.906,5122.854,65904.29
1980,18597.726,19907.6,18248.917,2253.63,59007.873,2739.169,2900.144,52.699,0,0,2475.5,5428.342,67175.384
1981,18376.773,19699.155,18146.019,2307.382,58529.329,3007.589,2757.968,59.437,0,0,2596.283,5413.688,66950.606
1982,18638.773,18319.025,18308.947,2191.077,57457.822,3131.148,3265.558,50.627,0,0,2663.452,5979.637,66568.607
1983,17246.671,16593.389,18391.794,2184.107,54415.961,3202.549,3527.26,63.91,0,0.028,2904.414,6495.612,64114.122
1984,19719.216,18007.933,18848.237,2273.77,58849.156,3552.531,3385.811,80.811,0.055,0.068,2971.12,6437.864,68839.55
1985,19325.166,16980.38,18992.407,2240.771,57538.724,4075.563,2970.192,97.421,0.111,0.06,3016.233,6084.017,67698.304
1986,19509.466,16540.801,18375.862,2149.102,56575.231,4380.109,3071.179,107.677,0.147,0.044,2932.095,6111.14,67066.48
1987,20141.104,17135.819,17674.787,2215.035,57166.745,4753.933,2634.508,112.27,0.109,0.037,2874.884,5621.807,67542.485
1988,20737.639,17598.597,17278.931,2259.83,57874.997,5586.968,2334.265,106.338,0.094,0.009,3016.049,5456.754,68918.719
1989,21360.178,17847.275,16116.883,2158.342,57482.679,5602.161,2837.263,161.539,54.455,22.033,3159.357,6234.647,69319.487
1990,22487.548,18326.155,15571.185,2174.714,58559.602,6104.35,3046.391,170.747,58.755,29.007,2735.112,6040.012,70703.965
1991,21636.424,18228.736,15700.826,2305.74,57871.727,6422.132,3015.943,177.626,61.609,30.796,2781.797,6067.771,70361.631
1992,21694.132,18375.1,15222.863,2362.961,57655.057,6479.206,2617.436,178.699,62.865,29.863,2931.678,5820.541,69954.805
1993,20335.654,18584.037,14494.39,2408.002,55822.082,6410.499,2891.613,185.673,65.173,30.987,2908.446,6081.893,68314.474
1994,22202.083,19348.013,14102.563,2390.979,58043.638,6693.877,2683.457,173.464,67.108,35.56,3027.534,5987.123,70724.639
1995,22129.55,19082.245,13886.754,2441.583,57540.133,7075.436,3205.307,152.057,68.212,32.63,3099.082,6557.288,71172.857
1996,22790.148,19344.268,13722.899,2529.91,58387.225,7086.674,3589.656,163.359,69.11,33.44,3155.301,7010.865,72484.764
1997,23309.614,19393.851,13658.02,2495.207,58856.691,6596.992,3640.458,166.698,68.14,33.581,3107.908,7016.784,72470.467
1998,24045.198,19613.295,13235.13,2420.459,59314.083,7067.809,3297.054,168.45,67.419,30.853,2928.93,6492.705,72874.596
1999,23295.084,19340.703,12451.046,2527.649,57614.481,7610.256,3267.575,170.921,66.031,45.894,2965.132,6515.553,71740.29
2000,22735.478,19661.529,12358.101,2610.916,57366.024,7862.349,2811.116,164.364,63.43,57.057,3005.661,6101.628,71330.001
2001,23547.08,20165.567,12281.566,2547.136,58541.348,8028.853,2241.858,164.461,61.626,69.617,2624.162,5161.724,71731.926
2002,22732.237,19382.055,12160.213,2559.168,56833.673,8145.429,2689.017,171.164,59.923,105.334,2705.406,5730.845,70709.947
2003,22093.652,19633.304,11959.568,2346.26,56032.784,7959.622,2792.539,173.445,58.366,113.273,2804.778,5942.401,69934.807
2004,22852.099,19074.254,11550.086,2465.85,55942.289,8222.774,2688.468,178.147,58.295,141.664,2996.017,6062.59,70227.653
2005,23185.189,18556.015,10974.152,2333.842,55049.197,8160.81,2702.942,180.703,57.773,178.088,3101.186,6220.691,69430.698
2006,23789.51,19021.706,10766.775,2355.836,55933.826,8214.626,2869.035,181.2,60.581,263.738,3211.515,6586.069,70734.521
2007,23492.742,19786.209,10741.447,2408.589,56428.986,8458.589,2446.389,185.774,65.375,340.503,3472.08,6510.121,71397.696
2008,23851.368,20702.884,10613.302,2419.358,57586.912,8426.491,2511.108,192.433,73.814,545.548,3868.25,7191.153,73204.556
2009,21623.721,21139.45,11324.037,2573.782,56660.991,8355.22,2668.824,200.185,77.654,721.129,3956.617,7624.408,72640.619
2010,22038.226,21805.763,11596.243,2781.288,58221.52,8434.433,2538.541,207.979,90.483,923.427,4552.532,8312.962,74968.915
2011,22221.407,23405.72,11970.09,2970.152,60567.369,8268.698,3102.852,212.311,111.129,1167.636,4704.321,9298.248,78134.315
2012,20676.893,24610.065,13801.416,3245.85,62334.224,8061.822,2628.702,211.592,156.849,1340.059,4546.704,8883.906,79279.952
2013,20001.304,24859.072,15807.498,3532.226,64200.1,8244.433,2562.382,214.006,224.523,1601.359,4815.632,9417.902,81862.435
2014,20285.705,26718.073,18541.957,4096.409,69642.144,8337.559,2466.577,214.49,336.939,1727.542,5020.366,9765.913,87745.616
2015,17946.095,28066.882,19678.989,4567.489,70259.454,8336.886,2321.177,211.836,425.727,1777.306,4991.579,9727.625,88323.965
2016,14667.089,27576.023,18493.653,4770.102,65506.867,8426.753,2472.442,209.604,568.665,2095.595,5080.505,10426.811,84360.431
2017,15625.377,28273.706,19534.751,5107.217,68541.05,8418.968,2766.969,210.233,774.466,2342.89,5203.672,11298.231,88258.25
